,,,2017a,Column1,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63,_64,_65,_66,_67,_68,_69,_70,_71,_72,_73,_74,_75,_76,_77,_78,_79,_80,_81,_82,_83,_84,_85,_86,_87,_88,_89,_90,_91,_92,_93,_94,_95,_96,_97,_98,_99,_100,_101,_102,_103,_104,_105,_106,_107,_108,_109,_110,_111,_112,_113,_114,_115,_116
,D03E,W,d03ew.JPG,2/27/2019 9:17,2018:07:23 17:36:32,2018:07:23 17:36:32,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,320,100 CenterWeighted,AperturePriority 0.0 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Parametric Linear,1822.92 3000.00 2000.00,N,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),8658916.4,0.829,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR color_pace.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,17:25,1,0,d01ec,PartlyCloudy,_,_,0.00-0.00,M 0.0,0,45.56,-84.7,240,1,2.71,2.69,4.82,4.22,3.79,5.19,3.91,1.44,6.1,4.72,4.61,6.68,4.88,1.44,9,0.79,0.89,0.82,0.78,0.8,1,,,,,,0,0,0,0,3.908,6.096,4.723,4.613,6.683,4.875,,,,,0.0198,0.0252,0.0205,40.95,6.14,47.09,0.81,0.15,0.96,,,,,,,,,,,
,D03W,C,d03wc.JPG,2/27/2019 9:17,2018:07:23 17:39:28,2018:07:23 17:39:28,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,320,100 CenterWeighted,AperturePriority 0.0 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Parametric Linear,1822.92 3000.00 2000.00,N,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),7310700.1,0.7,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR color_pace.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,17:25,1,0,d01ec,PartlyCloudy,_,_,0.00-0.00,M 0.0,0,45.56,-84.7,240,1,6.09,6.62,3.5,2.98,2.6,2.9,2.53,10.62,4.67,3.58,3.37,3.98,3.32,8.1,0,0.75,0.83,0.77,0.73,0.76,1,,,,,,0,0,0,0,2.53,4.67,3.579,3.366,3.977,3.318,,,,,0.0419,0.1005,0.0495,40.95,6.14,47.09,1.72,0.62,2.33,,,,,,,,,,,
,D03W,E,d03we.JPG,2/27/2019 9:17,2018:07:23 17:41:12,2018:07:23 17:41:12,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,320,100 CenterWeighted,AperturePriority 0.0 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Parametric Linear,1822.92 3000.00 2000.00,N,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),7375141.4,0.706,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR color_pace.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,17:25,1,0,d01ec,PartlyCloudy,_,_,0.00-0.00,M 0.0,0,45.56,-84.7,240,1,6.94,7.27,2.31,3,2.82,4.79,3.46,6.12,3.53,3.94,3.77,5.98,4.4,5.22,7,0.65,0.76,0.75,0.8,0.79,1,,,,,,0,0,0,0,3.458,3.527,3.94,3.77,5.975,4.398,,,,,0.1156,0.0846,0.1115,40.95,6.14,47.09,4.73,0.52,5.25,,,,,,,,,,,
,D03W,N,d03wn.JPG,2/27/2019 9:17,2018:07:23 17:40:08,2018:07:23 17:40:08,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,320,100 CenterWeighted,AperturePriority 0.0 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Parametric Linear,1822.92 3000.00 2000.00,N,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),6778608.3,0.649,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR color_pace.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,17:25,1,0,d01ec,PartlyCloudy,_,_,0.00-0.00,M 0.0,0,45.56,-84.7,240,1,8.77,9.4,3.17,2.63,2.32,3.24,2.59,7.38,3.55,3.1,2.89,4.26,3.32,8.1,2,0.89,0.85,0.8,0.76,0.78,1,,,,,,0,0,0,0,2.587,3.549,3.099,2.893,4.258,3.319,,,,,0.135,0.1285,0.1341,40.95,6.14,47.09,5.53,0.79,6.32,,,,,,,,,,,
,D03W,S,d03ws.JPG,2/27/2019 9:17,2018:07:23 17:42:16,2018:07:23 17:42:16,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,320,100 CenterWeighted,AperturePriority 0.0 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Parametric Linear,1822.92 3000.00 2000.00,N,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),6577518.2,0.63,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR color_pace.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,17:25,1,0,d01ec,PartlyCloudy,_,_,0.00-0.00,M 0.0,0,45.56,-84.7,240,1,9.85,10.78,2.67,2.39,2.06,2.24,2.02,17.64,3.26,2.96,2.74,3.13,2.66,15.3,1,0.82,0.81,0.75,0.72,0.76,1,,,,,,0,0,0,0,2.017,3.263,2.962,2.741,3.133,2.665,,,,,0.316,0.1636,0.2961,40.95,6.14,47.09,12.94,1,13.94,,,,,,,,,,,
,D03W,W,d03ww.JPG,2/27/2019 9:18,2018:07:23 17:43:38,2018:07:23 17:43:38,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,320,100 CenterWeighted,AperturePriority 0.0 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Parametric Linear,1822.92 3000.00 2000.00,N,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),8382201.9,0.803,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR color_pace.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,17:25,1,0,d01ec,PartlyCloudy,_,_,0.00-0.00,M 0.0,0,45.56,-84.7,240,1,4.18,4.36,3.77,3.46,3.09,4.31,3.33,5.76,6.64,4.86,4.69,6.6,4.95,1.44,16,0.57,0.71,0.66,0.65,0.67,1,,,,,,0,0,0,0,3.331,6.641,4.861,4.694,6.601,4.955,,,,,0.1221,0.0536,0.1132,40.95,6.14,47.09,5,0.33,5.33,,,,,,,,,,,
,D04E,C,d04ec.JPG,2/27/2019 10:27,2018:07:24 16:51:13,2018:07:24 16:51:13,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,320,100 CenterWeighted,AperturePriority 0.0 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Parametric Linear,1822.92 3000.00 2000.00,N,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),6411464.6,0.614,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR color_pace.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,17:25,1,0,d01ec,PartlyCloudy,_,_,0.00-0.00,M 0.0,0,45.56,-84.7,240,1,13,13.51,1.66,2.09,1.94,2.35,1.91,12.42,2.33,2.48,2.44,2.95,2.42,12.06,1,0.71,0.84,0.8,0.8,0.79,1,,,,,,0,0,0,0,1.908,2.325,2.476,2.437,2.946,2.421,,,,,0.2316,0.1572,0.2219,40.95,6.14,47.09,9.48,0.97,10.45,,,,,,,,,,,
,D04E,E,d04ee.JPG,2/27/2019 10:27,2018:07:24 16:52:43,2018:07:24 16:52:43,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,320,100 CenterWeighted,AperturePriority 0.0 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Parametric Linear,1822.92 3000.00 2000.00,N,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),7680173.9,0.736,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR color_pace.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,17:25,1,0,d01ec,PartlyCloudy,_,_,0.00-0.00,M 0.0,0,45.56,-84.7,240,1,5.28,5.09,3.15,4.02,3.94,6.32,4.31,1.44,5.17,5.46,5.38,8.07,5.7,1.44,22,0.61,0.74,0.73,0.78,0.76,1,,,,,,0,0,0,0,4.308,5.172,5.458,5.378,8.074,5.697,,,,,0.0151,0.0333,0.0175,40.95,6.14,47.09,0.62,0.2,0.82,,,,,,,,,,,
,D04E,N,d04en.JPG,2/27/2019 10:28,2018:07:24 16:51:52,2018:07:24 16:51:52,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,320,100 CenterWeighted,AperturePriority 0.0 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Parametric Linear,1822.92 3000.00 2000.00,N,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),5176199.5,0.496,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR color_pace.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,17:25,1,0,d01ec,PartlyCloudy,_,_,0.00-0.00,M 0.0,0,45.56,-84.7,240,1,21.09,22.14,2.14,1.54,1.43,2.14,1.65,14.58,2.69,1.96,1.98,2.96,2.24,11.88,0,0.8,0.78,0.72,0.72,0.74,1,,,,,,0,0,0,0,1.648,2.691,1.964,1.979,2.962,2.236,,,,,0.1056,0.2741,0.1275,40.95,6.14,47.09,4.32,1.68,6.01,,,,,,,,,,,
,D04E,S,d04es.JPG,2/27/2019 10:28,2018:07:24 16:53:51,2018:07:24 16:53:51,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,320,100 CenterWeighted,AperturePriority 0.0 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Parametric Linear,1822.92 3000.00 2000.00,N,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),4927992.7,0.472,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR color_pace.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,17:25,1,0,d01ec,PartlyCloudy,_,_,0.00-0.00,M 0.0,0,45.56,-84.7,240,1,20.74,21.79,1.37,1.52,1.4,1.81,1.48,13.5,1.77,2.13,2.15,2.66,2.22,14.58,0,0.78,0.71,0.65,0.68,0.67,1,,,,,,0,0,0,0,1.482,1.767,2.131,2.147,2.659,2.215,,,,,0.3728,0.2673,0.359,40.95,6.14,47.09,15.27,1.64,16.91,,,,,,,,,,,
,D04E,W,d04ew.JPG,2/27/2019 10:28,2018:07:24 16:54:44,2018:07:24 16:54:44,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,320,100 CenterWeighted,AperturePriority 0.0 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Parametric Linear,1822.92 3000.00 2000.00,N,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),5888927.8,0.564,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR color_pace.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,17:25,1,0,d01ec,PartlyCloudy,_,_,0.00-0.00,M 0.0,0,45.56,-84.7,240,1,12.59,12.73,2.32,2.34,2.15,3.46,2.49,4.32,3.34,3,2.92,4.45,3.23,5.94,2,0.69,0.78,0.73,0.78,0.77,1,,,,,,0,0,0,0,2.492,3.34,2.997,2.924,4.451,3.233,,,,,0.1007,0.1269,0.1042,40.95,6.14,47.09,4.13,0.78,4.91,,,,,,,,,,,
1123,D04W,C,DSC01123.JPG,2/27/2019 10:28,2018:07:24 16:56:39,2018:07:24 16:56:39,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,320,100 CenterWeighted,AperturePriority 0.0 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Parametric Linear,1822.92 3000.00 2000.00,N,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),6850000.6,0.656,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR color_pace.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,17:25,1,0,d01ec,PartlyCloudy,_,_,0.00-0.00,M 0.0,0,45.56,-84.7,240,1,10.49,10.14,2.32,3.27,3.12,4.9,3.32,1.44,3.23,3.65,3.73,6.13,4.12,1.44,11,0.72,0.9,0.84,0.8,0.8,1,,,,,,0,0,0,0,3.317,3.231,3.648,3.726,6.13,4.121,,,,,0.0376,0.07,0.0418,40.95,6.14,47.09,1.54,0.43,1.97,,,,,,,,,,,
1124,DO4W,N,DSC01124.JPG,2/27/2019 10:29,2018:07:24 16:57:47,2018:07:24 16:57:47,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,320,100 CenterWeighted,AperturePriority 0.0 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Parametric Linear,1822.92 3000.00 2000.00,N,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),5674010.2,0.544,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR color_pace.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,17:25,1,0,d01ec,PartlyCloudy,_,_,0.00-0.00,M 0.0,0,45.56,-84.7,240,1,15.26,15.87,1.77,1.98,1.81,2.76,2.08,9.54,2.43,2.61,2.66,4.29,3.09,8.1,6,0.73,0.76,0.68,0.64,0.67,1,,,,,,0,0,0,0,2.076,2.433,2.609,2.66,4.286,3.086,,,,,0.0827,0.1817,0.0956,40.95,6.14,47.09,3.39,1.12,4.5,,,,,,,,,,,
1125,D04W,E,DSC01125.JPG,2/27/2019 10:29,2018:07:24 16:59:08,2018:07:24 16:59:08,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,320,100 CenterWeighted,AperturePriority 0.0 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Parametric Linear,1822.92 3000.00 2000.00,N,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),4604539.6,0.441,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR color_pace.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,17:25,1,0,d01ec,PartlyCloudy,_,_,0.00-0.00,M 0.0,0,45.56,-84.7,240,1,23.29,25.68,1.32,1.3,1.23,1.12,1.13,32.94,3.99,2.47,2.54,2.21,2.31,21.6,10,0.33,0.52,0.48,0.51,0.49,1,,,,,,0,0,0,0,1.134,3.988,2.472,2.54,2.207,2.312,,,,,0.1937,0.3984,0.2204,40.95,6.14,47.09,7.93,2.45,10.38,,,,,,,,,,,
1126,D04W,S,DSC01126.JPG,2/27/2019 10:29,2018:07:24 17:00:15,2018:07:24 17:00:15,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,320,100 CenterWeighted,AperturePriority 0.0 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Parametric Linear,1822.92 3000.00 2000.00,N,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),4106758.4,0.393,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR color_pace.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,17:25,1,0,d01ec,PartlyCloudy,_,_,0.00-0.00,M 0.0,0,45.56,-84.7,240,1,22.72,24.64,1.27,1.3,1.27,1.5,1.36,27.54,2.56,1.94,1.92,2.13,1.96,28.8,4,0.49,0.67,0.66,0.71,0.69,1,,,,,,0,0,0,0,1.357,2.562,1.944,1.917,2.127,1.964,,,,,0.2456,0.3468,0.2588,40.95,6.14,47.09,10.06,2.13,12.19,,,,,,,,,,,
1127,D04W,W,DSC01127.JPG,2/27/2019 10:29,2018:07:24 17:01:15,2018:07:24 17:01:15,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,320,100 CenterWeighted,AperturePriority -1.0 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Parametric Linear,1822.92 3000.00 2000.00,N,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),5692651.7,0.545,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR color_pace.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,17:25,1,0,d01ec,PartlyCloudy,_,_,0.00-0.00,M 0.0,0,45.56,-84.7,240,1,15.21,15.95,1.58,1.9,1.73,2.39,1.88,15.12,1.98,2.4,2.32,3.09,2.5,16.38,2,0.8,0.79,0.75,0.77,0.75,1,,,,,,0,0,0,0,1.882,1.984,2.403,2.318,3.092,2.499,,,,,0.2381,0.191,0.2319,40.95,6.14,47.09,9.75,1.17,10.92,,,,,,,,,,,
1131,C04E,C,DSC01131.JPG,2/27/2019 10:29,2018:07:24 17:11:08,2018:07:24 17:11:08,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,320,100 CenterWeighted,NormalProg -1.0 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Parametric Linear,1822.92 3000.00 2000.00,N,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),7933927.5,0.76,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR color_pace.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,17:25,1,0,d01ec,PartlyCloudy,_,_,0.00-0.00,M 0.0,0,45.56,-84.7,240,1,5.45,5.51,2.8,3.2,3.01,4.12,3.12,9,3.25,3.55,3.39,4.7,3.55,8.28,0,0.86,0.9,0.89,0.88,0.88,1,,,,,,0,0,0,0,3.125,3.246,3.549,3.385,4.702,3.549,,,,,0.0705,0.0527,0.0682,40.95,6.14,47.09,2.89,0.32,3.21,,,,,,,,,,,
1132,C04E,N,DSC01132.JPG,2/27/2019 10:30,2018:07:24 17:11:47,2018:07:24 17:11:47,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,320,100 CenterWeighted,NormalProg -1.0 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Parametric Linear,1822.92 3000.00 2000.00,N,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),7093026.9,0.679,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR color_pace.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,17:25,1,0,d01ec,PartlyCloudy,_,_,0.00-0.00,M 0.0,0,45.56,-84.7,240,1,8.46,9.36,2.6,2.59,2.3,3.06,2.58,16.2,3.2,3.29,3.09,4.16,3.41,12.06,1,0.81,0.79,0.75,0.74,0.76,1,,,,,,0,0,0,0,2.58,3.202,3.289,3.088,4.155,3.411,,,,,0.1063,0.1453,0.1114,40.95,6.14,47.09,4.35,0.89,5.25,,,,,,,,,,,
1133,C04E,E,DSC01133.JPG,2/27/2019 10:30,2018:07:24 17:12:33,2018:07:24 17:12:33,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,320,100 CenterWeighted,NormalProg -1.0 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Parametric Linear,1822.92 3000.00 2000.00,N,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),7082356,0.678,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR color_pace.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,17:25,1,0,d01ec,PartlyCloudy,_,_,0.00-0.00,M 0.0,0,45.56,-84.7,240,1,6.93,7.45,2.92,2.7,2.49,2.91,2.48,16.2,3.12,3.13,3.1,3.65,3.03,13.86,0,0.93,0.86,0.8,0.8,0.82,1,,,,,,0,0,0,0,2.483,3.125,3.131,3.095,3.654,3.034,,,,,0.0397,0.1009,0.0476,40.95,6.14,47.09,1.62,0.62,2.24,,,,,,,,,,,
